rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
699,4000,Finance & Investments,"Bernard Saul, II.",90,United States,Chevy Chase,"Banking, real estate",Finance & Investments,United States,Saul Centers,FALSE,U,M,4/15/1932 0:00,Saul,Bernard,Chairman and CEO,45020.20903,Maryland,South,1932,4,15,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
699,4000,Telecom,Shaul Shani,68,Italy,Milan,Telecom,Telecom,Israel,,TRUE,D,M,20090,Shani,Shaul,,45020.20903,,,1955,1,1,110.62,0.6,2.00124E+12,61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738
699,4000,Media & Entertainment,Steven Spielberg,76,United States,Pacific Palisades,Movies,Media & Entertainment,United States,,TRUE,U,M,12/18/1946 0:00,Spielberg,Steven,,45020.20903,California,West,1946,12,18,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
699,4000,Healthcare,Jerzy Starak,75,Poland,Konstancin,Pharmaceuticals,Healthcare,Poland,,TRUE,E,M,17513,Starak,Jerzy,,45020.20903,,,1947,12,12,114.11,2.2,5.92164E+11,67.8,100,77.6,17.4,40.8,37970874,51.919438,19.145136
699,4000,Energy,Torbjorn Tornqvist,69,Switzerland,Geneva,Oil trading,Energy,Sweden,,TRUE,U,M,19582,Tornqvist,Torbjorn,,45020.20903,,,1953,11,8,99.55,0.4,7.03082E+11,59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
699,4000,Metals & Mining,Rufino Vigil Gonzalez,74,Mexico,Mexico City,Steel,Metals & Mining,Mexico,,TRUE,U,M,17538,Vigil Gonzalez,Rufino,,45020.20903,,,1948,6,1,141.54,3.6,1.25829E+12,40.2,105.8,75,13.1,55.1,126014024,23.634501,-102.552784
699,4000,Diversified,Zhang Daocai,73,China,Shaoxing,Valves,Diversified,China,,TRUE,U,M,18264,Zhang,Daocai,,45020.20903,,,1950,1,1,125.08,2.9,1.991E+13,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
721,3900,Manufacturing,Juergen Blickle,76,Germany,Bruchsal,Auto parts,Manufacturing,Germany,,FALSE,D,M,17168,Blickle,Juergen,,45020.20903,,,1947,1,1,112.85,1.4,3.84563E+12,70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
721,3900,Food & Beverage,"Austen Cargill, II.",72,United States,Livingston,Cargill,Food & Beverage,United States,,FALSE,D,M,18874,Cargill,Austen,,45020.20903,Montana,West,1951,3,9,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
721,3900,Food & Beverage,"James Cargill, II.",73,United States,Birchwood,Cargill,Food & Beverage,United States,,FALSE,D,M,18083,Cargill,James,,45020.20903,Wisconsin,Midwest,1949,4,7,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
721,3900,Finance & Investments,Vanich Chaiyawan,91,Thailand,Bangkok,"Insurance, beverages",Finance & Investments,Thailand,,TRUE,U,M,11689,Chaiyawan,Vanich,,45020.20903,,,1932,1,1,113.27,0.7,5.4365E+11,49.3,99.8,76.9,14.9,29.5,69625582,15.870032,100.992541
721,3900,Finance & Investments,Chen Dongsheng,65,China,Beijing,Insurance,Finance & Investments,China,,TRUE,U,M,20832,Chen,Dongsheng,,45020.20903,,,1957,12,1,125.08,2.9,1.991E+13,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
721,3900,Automotive,Mong-Koo Chung,85,South Korea,Seoul,Hyundai,Automotive,South Korea,,FALSE,D,M,3/19/1938 0:00,Chung,Mong-Koo,,45020.20903,,,1938,3,19,115.16,0.4,2.029E+12,94.3,98.1,82.6,15.6,33.2,51709098,35.907757,127.766922
721,3900,Finance & Investments,Kenneth Dart,67,Cayman Islands,George Town,Investments,Finance & Investments,Belize,,FALSE,U,M,4/21/1955 0:00,Dart,Kenneth,,45020.20903,,,1955,4,21,,,,,,,,,,,
721,3900,Fashion & Retail,Giuseppe De'Longhi & family,83,Italy,Treviso,Coffee makers,Fashion & Retail,Italy,,FALSE,D,M,4/24/1939 0:00,De'Longhi,Giuseppe,,45020.20903,,,1939,4,24,110.62,0.6,2.00124E+12,61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738
721,3900,Healthcare,Guenther Fielmann & family,83,Germany,Hamburg,Optometry,Healthcare,Germany,,TRUE,D,M,9/17/1939 0:00,Fielmann,Guenther,,45020.20903,,,1939,9,17,112.85,1.4,3.84563E+12,70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
721,3900,Energy,W. Herbert Hunt,94,United States,Dallas,Oil,Energy,United States,,FALSE,D,M,10747,Hunt,W. Herbert,Investor,45020.20903,Texas,South,1929,3,6,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
721,3900,Sports,James Irsay,63,United States,Carmel,Indianapolis Colts,Sports,United States,Indianapolis Colts,FALSE,U,M,6/13/1959 0:00,Irsay,James,CEO,45020.20903,Indiana,Midwest,1959,6,13,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
721,3900,Food & Beverage,Marianne Liebmann,69,United States,Bozeman,Cargill,Food & Beverage,United States,,FALSE,D,F,19670,Liebmann,Marianne,,45020.20903,Montana,West,1953,7,11,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
721,3900,Healthcare,Jorge Moll Filho & family,78,Brazil,Rio de Janeiro,Hospitals,Healthcare,Brazil,,TRUE,D,M,16438,Moll Filho,Jorge,,45020.20903,,,1945,1,1,167.4,3.7,1.83976E+12,51.3,115.4,75.7,14.2,65.1,212559417,-14.235004,-51.92528
721,3900,Diversified,Fernando Roberto Moreira Salles,76,Brazil,Sao Paulo,"Banking, minerals",Diversified,Brazil,,FALSE,U,M,5/29/1946 0:00,Moreira Salles,Fernando Roberto,,45020.20903,,,1946,5,29,167.4,3.7,1.83976E+12,51.3,115.4,75.7,14.2,65.1,212559417,-14.235004,-51.92528
721,3900,Diversified,Pedro Moreira Salles,63,Brazil,Sao Paulo,"Banking, minerals",Diversified,Brazil,,FALSE,U,M,10/20/1959 0:00,Moreira Salles,Pedro,,45020.20903,,,1959,10,20,167.4,3.7,1.83976E+12,51.3,115.4,75.7,14.2,65.1,212559417,-14.235004,-51.92528
721,3900,Gambling & Casinos,Gabe Newell,60,United States,Seattle,Videogames,Gambling & Casinos,United States,Valve Corporation,TRUE,E,M,22716,Newell,Gabe,Cofounder and CEO,45020.20903,Washington,West,1962,11,3,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
721,3900,Fashion & Retail,Alfred Oetker,56,Germany,Bielefeld,Consumer goods,Fashion & Retail,Germany,,FALSE,U,M,24473,Oetker,Alfred,,45020.20903,,,1967,1,1,112.85,1.4,3.84563E+12,70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
721,3900,Fashion & Retail,Carl Ferdinand Oetker,50,Germany,Bielefeld,Consumer goods,Fashion & Retail,Germany,,FALSE,U,M,26368,Oetker,Carl Ferdinand,,45020.20903,,,1972,10,3,112.85,1.4,3.84563E+12,70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
721,3900,Fashion & Retail,Julia Oetker,44,Germany,Bielefeld,Consumer goods,Fashion & Retail,Germany,,FALSE,U,F,1/26/1979 0:00,Oetker,Julia,,45020.20903,,,1979,1,26,112.85,1.4,3.84563E+12,70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
721,3900,Manufacturing,Ruan Hongliang & family,62,China,Jiaxing,Glass,Manufacturing,China,,TRUE,D,M,22282,Ruan,Hongliang,,45020.20903,,,1961,1,1,125.08,2.9,1.991E+13,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
721,3900,Finance & Investments,Mark Stevens,63,United States,Steamboat Springs,Venture capital,Finance & Investments,United States,,TRUE,D,M,2/17/1960 0:00,Stevens,Mark,,45020.20903,Colorado,West,1960,2,17,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
721,3900,Finance & Investments,Tsai Hong-tu,70,Taiwan,Taipei,Finance,Finance & Investments,Taiwan,,FALSE,D,M,19001,Tsai,Hong-tu,,45020.20903,,,1952,8,1,,,,,,,,,,,
721,3900,Food & Beverage,Nusli Wadia,79,India,Mumbai,Consumer goods,Food & Beverage,India,,FALSE,U,M,2/15/1944 0:00,Wadia,Nusli,,45020.20903,,,1944,2,15,180.44,7.7,2.611E+12,28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
721,3900,Healthcare,Wu Yiling,73,China,Shijiazhuang,Pharmaceuticals,Healthcare,China,,TRUE,E,M,10/24/1949 0:00,Wu,Yiling,,45020.20903,,,1949,10,24,125.08,2.9,1.991E+13,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
721,3900,Manufacturing,Yu Renrong,57,China,Ningbo,Semiconductors,Manufacturing,China,,TRUE,D,M,24111,Yu,Renrong,,45020.20903,,,1966,4,1,125.08,2.9,1.991E+13,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
721,3900,Healthcare,Zhu Baoguo & family,60,China,Shenzhen,Pharmaceuticals,Healthcare,China,,TRUE,D,M,4/25/1962 0:00,Zhu,Baoguo,,45020.20903,,,1962,4,25,125.08,2.9,1.991E+13,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
748,3800,Service,Rahul Bhatia,63,India,Delhi,Aviation,Service,India,,FALSE,Split Family Fortune,M,21829,Bhatia,Rahul,,45020.20903,,,1959,6,10,180.44,7.7,2.611E+12,28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
748,3800,Construction & Engineering,Francesco Gaetano Caltagirone,80,Italy,Rome,"Cement, diversified",Construction & Engineering,Italy,,TRUE,D,M,3/21/1943 0:00,Caltagirone,Francesco Gaetano,,45020.20903,,,1943,3,21,110.62,0.6,2.00124E+12,61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738
748,3800,Media & Entertainment,Barry Diller,81,United States,New York,Online media,Media & Entertainment,United States,,TRUE,D,M,15374,Diller,Barry,,45020.20903,New York,Northeast,1942,2,2,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
748,3800,Finance & Investments,Wesley Edens,61,United States,New York,Investments,Finance & Investments,United States,,TRUE,U,M,10/31/1961 0:00,Edens,Wesley,,45020.20903,New York,Northeast,1961,10,31,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
748,3800,Finance & Investments,Stephen Feinberg,63,United States,New York,Private equity,Finance & Investments,United States,Cerberus Capital Management,TRUE,U,M,3/29/1960 0:00,Feinberg,Stephen,Co-founder and CEO,45020.20903,New York,Northeast,1960,3,29,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
748,3800,Service,Rakesh Gangwal,69,United States,Miami,Airline,Service,United States,,TRUE,D,M,7/25/1953 0:00,Gangwal,Rakesh,,45020.20903,Florida,South,1953,7,25,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
748,3800,Food & Beverage,Joseph Grendys,61,United States,Chicago,Poultry processing,Food & Beverage,United States,,TRUE,U,M,22293,Grendys,Joseph,,45020.20903,Illinois,Midwest,1961,12,1,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
748,3800,Media & Entertainment,Martha Ingram & family,87,United States,Nashville,"Book distribution, transportation",Media & Entertainment,United States,"Ingram Industries, Inc.",FALSE,D,F,8/20/1935 0:00,Ingram,Martha,Former Chairman,45020.20903,Tennessee,South,1935,8,20,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
748,3800,Automotive,Li Xiang,41,China,Beijing,Electric vehicles,Automotive,China,,TRUE,D,M,29596,Li,Xiang,,45020.20903,,,1981,10,1,125.08,2.9,1.991E+13,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
748,3800,Real Estate,"H. Ross Perot, Jr.",64,United States,Dallas,Real estate,Real Estate,United States,,FALSE,U,M,21377,Perot,H. Ross,,45020.20903,Texas,South,1958,11,7,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
748,3800,Real Estate,Chandru Raheja,82,India,Mumbai,Real estate,Real Estate,India,,FALSE,U,M,14620,Raheja,Chandru,,45020.20903,,,1940,10,1,180.44,7.7,2.611E+12,28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
748,3800,Energy,Trevor Rees-Jones,71,United States,Dallas,Oil & gas,Energy,United States,,TRUE,D,M,18970,Rees-Jones,Trevor,,45020.20903,Texas,South,1951,8,12,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
748,3800,Telecom,Yasumitsu Shigeta,58,Japan,Tokyo,Mobile phone retailer,Telecom,Japan,,TRUE,U,M,2/25/1965 0:00,Shigeta,Yasumitsu,,45020.20903,,,1965,2,25,105.48,0.5,5.08177E+12,63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924
748,3800,Healthcare,Su Qingcan,54,China,Xiamen,Healthcare,Healthcare,China,,TRUE,N,M,25204,Su,Qingcan,,45020.20903,,,1969,1,1,125.08,2.9,1.991E+13,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
748,3800,Finance & Investments,Tsai Cheng-ta,73,Taiwan,Taipei,Finance,Finance & Investments,Taiwan,,FALSE,D,M,18267,Tsai,Cheng-ta,,45020.20903,,,1950,4,1,,,,,,,,,,,
748,3800,Service,Steven Udvar-Hazy,77,United States,Westlake,Aircraft leasing,Service,United States,Air Lease Corp.,TRUE,D,M,2/23/1946 0:00,Udvar-Hazy,Steven,CEO and Chairman,45020.20903,Texas,South,1946,2,23,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
748,3800,Manufacturing,Elizabeth Uihlein,77,United States,Lake Forest,Packaging materials,Manufacturing,United States,,TRUE,N,F,16625,Uihlein,Elizabeth,Entrepreneur,45020.20903,Illinois,Midwest,1945,7,7,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
748,3800,Manufacturing,Richard Uihlein,77,United States,Lake Forest,Packaging materials,Manufacturing,United States,,TRUE,N,M,8/27/1945 0:00,Uihlein,Richard,,45020.20903,Illinois,Midwest,1945,8,27,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
766,3700,Finance & Investments,Hayes Barnard,51,United States,Austin,Fintech,Finance & Investments,United States,,TRUE,N,M,2/15/1972 0:00,Barnard,Hayes,,45020.20903,Texas,South,1972,2,15,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
766,3700,Finance & Investments,William Berkley,76,United States,Coconut Grove,Insurance,Finance & Investments,United States,WR Berkley,TRUE,E,M,16811,Berkley,William,Chairman and CEO,45020.20903,Florida,South,1946,9,1,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
766,3700,Real Estate,Charles Cohen,71,United States,New York,Real estate,Real Estate,United States,,FALSE,U,M,19208,Cohen,Charles,,45020.20903,New York,Northeast,1952,2,8,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
766,3700,Real Estate,Yakir Gabay,56,United Kingdom,London,Real estate,Real Estate,Cyprus,,TRUE,D,M,4/13/1966 0:00,Gabay,Yakir,,45020.20903,,,1966,4,13,119.62,1.7,2.82711E+12,60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
766,3700,Technology,Huang Li,59,China,Wuhan,Imaging systems,Technology,China,,TRUE,D,M,6/27/1963 0:00,Huang,Li,,45020.20903,,,1963,6,27,125.08,2.9,1.991E+13,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
766,3700,Logistics,Brad Jacobs,66,United States,Greenwich,Logistics,Logistics,United States,,TRUE,E,M,20461,Jacobs,Brad,,45020.20903,Connecticut,Northeast,1956,7,1,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
766,3700,Real Estate,Ji Qi,56,China,Shanghai,"Hotels, motels",Real Estate,China,,TRUE,U,M,24117,Ji,Qi,,45020.20903,,,1966,10,1,125.08,2.9,1.991E+13,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
766,3700,Media & Entertainment,Jason Jiang,50,China,Shanghai,Advertising,Media & Entertainment,Singapore,,TRUE,D,M,26665,Jiang,Jason,,45020.20903,,,1973,1,1,125.08,2.9,1.991E+13,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
766,3700,Technology,Jim Kavanaugh,60,United States,St. Louis,IT provider,Technology,United States,,TRUE,U,M,10/17/1962 0:00,Kavanaugh,Jim,,45020.20903,Missouri,Midwest,1962,10,17,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
766,3700,Real Estate,Richard LeFrak & family,77,United States,New York,Real estate,Real Estate,United States,,FALSE,E,M,8/29/1945 0:00,LeFrak,Richard,,45020.20903,New York,Northeast,1945,8,29,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
766,3700,Finance & Investments,Mikhail Lomtadze,47,Kazakhstan,Almaty,Fintech,Finance & Investments,Georgia,,TRUE,U,M,10/17/1975 0:00,Lomtadze,Mikhail,,45020.20903,,,1975,10,17,182.75,5.2,1.80162E+11,61.7,104.4,73.2,11.7,28.4,18513930,48.019573,66.923684
766,3700,Fashion & Retail,Tom Morris,68,United Kingdom,Merseyside,Retail,Fashion & Retail,United Kingdom,,TRUE,U,M,19765,Morris,Tom,,45020.20903,,,1954,10,2,119.62,1.7,2.82711E+12,60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
766,3700,Manufacturing,Shigenobu Nagamori,78,Japan,Kyoto,Motors,Manufacturing,Japan,,TRUE,D,M,8/28/1944 0:00,Nagamori,Shigenobu,,45020.20903,,,1944,8,28,105.48,0.5,5.08177E+12,63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924
766,3700,Finance & Investments,Daniel Och,62,United States,Miami Beach,Hedge funds,Finance & Investments,United States,Och-Ziff Capital Management,TRUE,D,M,1/27/1961 0:00,Och,Daniel,Founder,45020.20903,Florida,South,1961,1,27,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
766,3700,Fashion & Retail,Horst Paulmann & family,88,Chile,Santiago,Retail,Fashion & Retail,Chile,,TRUE,U,M,12785,Paulmann,Horst,,45020.20903,,,1935,1,1,131.91,2.6,2.82318E+11,88.5,101.4,80,18.2,34,18952038,-35.675147,-71.542969
766,3700,Service,Anthony Pritzker,62,United States,Los Angeles,"Hotels, investments",Service,United States,,FALSE,E,M,22463,Pritzker,Anthony,,45020.20903,California,West,1961,1,7,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
766,3700,Technology,John Sall,75,United States,Cary,Software,Technology,United States,SAS Institute,TRUE,U,M,17627,Sall,John,"Co-Founder, Executive Vice President",45020.20903,North Carolina,South,1948,4,4,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
766,3700,Food & Beverage,Howard Schultz,69,United States,Seattle,Starbucks,Food & Beverage,United States,,TRUE,D,M,7/19/1953 0:00,Schultz,Howard,,45020.20903,Washington,West,1953,7,19,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
766,3700,Fashion & Retail,Richard Schulze,82,United States,Naples,Best Buy,Fashion & Retail,United States,Best Buy Co. Inc.,TRUE,D,M,15008,Schulze,Richard,Chairman,45020.20903,Florida,South,1941,1,2,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
766,3700,Real Estate,Yitzhak Tshuva,74,Israel,Netanya,Real estate,Real Estate,Israel,,TRUE,D,M,17721,Tshuva,Yitzhak,,45020.20903,,,1948,7,7,108.15,0.8,3.95099E+11,63.4,104.9,82.8,23.1,25.3,9053300,31.046051,34.851612
766,3700,Manufacturing,Wang Yanqing & family,56,China,Wuxi,Electrical equipment,Manufacturing,China,,TRUE,D,M,24292,Wang,Yanqing,,45020.20903,,,1966,4,7,125.08,2.9,1.991E+13,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
787,3600,Diversified,Rajiv Bajaj,56,India,Pune,Diversified,Diversified,India,,FALSE,Split Family Fortune,M,12/21/1966 0:00,Bajaj,Rajiv,,45020.20903,,,1966,12,21,180.44,7.7,2.611E+12,28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
787,3600,Diversified,Sanjiv Bajaj,53,India,Pune,Diversified,Diversified,India,,FALSE,Split Family Fortune,M,25245,Bajaj,Sanjiv,,45020.20903,,,1969,11,2,180.44,7.7,2.611E+12,28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
787,3600,Finance & Investments,Leonid Boguslavsky,71,Italy,Florence,Venture capital,Finance & Investments,Canada,,TRUE,D,M,6/17/1951 0:00,Boguslavsky,Leonid,,45020.20903,,,1951,6,17,110.62,0.6,2.00124E+12,61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738
787,3600,Finance & Investments,Jim Coulter,63,United States,San Francisco,Private equity,Finance & Investments,United States,,TRUE,U,M,21562,Coulter,Jim,,45020.20903,California,West,1959,12,1,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
787,3600,Automotive,Nicolas D'Ieteren,47,Switzerland,Anzere,"Auto parts, distribution",Automotive,Belgium,,FALSE,N,M,4/13/1975 0:00,D'Ieteren,Nicolas ,,45020.20903,,,1975,4,13,99.55,0.4,7.03082E+11,59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
787,3600,Food & Beverage,Beatriz Davila de Santo Domingo,84,Bermuda,,Beer,Food & Beverage,Colombia,,FALSE,U,F,14429,Davila de Santo Domingo,Beatriz,,45020.20903,,,1939,3,7,,,,,,,,,,,
787,3600,Real Estate,Bob Gaglardi,82,Canada,Vancouver,Hotels,Real Estate,Canada,,TRUE,U,M,2/19/1941 0:00,Gaglardi,Bob,,45020.20903,,,1941,2,19,116.76,1.9,1.73643E+12,68.9,100.9,81.9,12.8,24.5,36991981,56.130366,-106.346771
787,3600,Finance & Investments,Jaime Gilinski Bacal,65,United Kingdom,London,Banking,Finance & Investments,Colombia,,FALSE,D,M,12/14/1957 0:00,Gilinski Bacal,Jaime,Investor,45020.20903,,,1957,12,14,119.62,1.7,2.82711E+12,60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
787,3600,Gambling & Casinos,Pansy Ho,60,Hong Kong,Hong Kong,Casinos,Gambling & Casinos,Hong Kong,,FALSE,U,F,8/26/1962 0:00,Ho,Pansy,,45020.20903,,,1962,8,26,,,,,,,,,,,
787,3600,Finance & Investments,Alan Howard,59,Switzerland,Geneva,Hedge funds,Finance & Investments,United Kingdom,Brevan Howard Asset Management,TRUE,U,M,23020,Howard,Alan,Founder,45020.20903,,,1963,9,1,99.55,0.4,7.03082E+11,59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
787,3600,Automotive,Huang Yi,61,China,Beijing,Car dealerships,Automotive,Hong Kong,,TRUE,D,M,22647,Huang,Yi,,45020.20903,,,1962,1,1,125.08,2.9,1.991E+13,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
787,3600,Finance & Investments,Peter Kellogg,80,United States,Short Hills,Investments,Finance & Investments,United States,,FALSE,E,M,15350,Kellogg,Peter,,45020.20903,New Jersey,Northeast,1942,9,1,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
787,3600,Finance & Investments,Vyacheslav Kim,53,Kazakhstan,Almaty,Fintech,Finance & Investments,Kazakhstan,,TRUE,U,M,25543,Kim,Vyacheslav,,45020.20903,,,1969,6,12,182.75,5.2,1.80162E+11,61.7,104.4,73.2,11.7,28.4,18513930,48.019573,66.923684
787,3600,Finance & Investments,Josh Kushner,37,United States,New York City,Venture capital,Finance & Investments,United States,Thrive Capital,TRUE,U,M,31387,Kushner,Josh,Managing Partner,45020.20903,New York,Northeast,1985,6,12,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
787,3600,Real Estate,Samuel Tak Lee,83,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,FALSE,D,M,14492,Lee,Samuel Tak,,45020.20903,,,1939,4,9,,,,,,,,,,,
787,3600,Real Estate,Edwin Leong,71,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,TRUE,D,M,18730,Leong,Edwin,,45020.20903,,,1951,12,4,,,,,,,,,,,
787,3600,Finance & Investments,"Stephen Mandel, Jr.",67,United States,Greenwich,Hedge funds,Finance & Investments,United States,Lone Pine Capital,TRUE,D,M,20792,Mandel,Stephen,Founder,45020.20903,Connecticut,Northeast,1956,3,12,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
787,3600,Diversified,Mohamed Mansour,75,United Kingdom,London,Diversified,Diversified,Egypt,,TRUE,U,M,1/23/1948 0:00,Mansour,Mohamed,,45020.20903,,,1948,1,23,119.62,1.7,2.82711E+12,60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
787,3600,Fashion & Retail,Masahiro Miki,67,Japan,Tokyo,Shoes,Fashion & Retail,Japan,,TRUE,U,M,7/26/1955 0:00,Miki,Masahiro,,45020.20903,,,1955,7,26,105.48,0.5,5.08177E+12,63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924
787,3600,Technology,Masahiro Noda,84,Japan,Tokyo,Software,Technology,Japan,,TRUE,U,M,8/24/1938 0:00,Noda,Masahiro,,45020.20903,,,1938,8,24,105.48,0.5,5.08177E+12,63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924
787,3600,Technology,Cliff Obrecht,37,Australia,Sydney,Software,Technology,Australia,,TRUE,D,M,12/28/1985 0:00,Obrecht,Cliff,,45020.20903,,,1985,12,28,119.8,1.6,1.39268E+12,113.1,100.3,82.7,23,47.4,25766605,-25.274398,133.775136
787,3600,Technology,Melanie Perkins,35,Australia,Sydney,Software,Technology,Australia,Canva,TRUE,D,F,5/13/1987 0:00,Perkins,Melanie,Cofounder & CEO,45020.20903,,,1987,5,13,119.8,1.6,1.39268E+12,113.1,100.3,82.7,23,47.4,25766605,-25.274398,133.775136
787,3600,Finance & Investments,J.B. Pritzker,58,United States,Springfield,"Hotels, investments",Finance & Investments,United States,,FALSE,E,M,1/19/1965 0:00,Pritzker,J.B.,,45020.20903,Illinois,Midwest,1965,1,19,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
